# Year Built,Floor Area,Energy Star Score,Site EUI
1.845000000000000000e+03,4.774285170000000107e+03,4.000000000000000000e+01,1.511049088999999981e+02
2.004000000000000000e+03,6.131597999999999956e+03,6.200000000000000000e+01,1.501585316000000034e+02
1.985000000000000000e+03,9.273112945000000764e+03,4.700000000000000000e+01,1.498430725000000052e+02
2.016000000000000000e+03,1.815315329700000075e+04,2.000000000000000000e+01,1.495276133999999786e+02
1.962000000000000000e+03,6.844628525000000081e+03,9.700000000000000000e+01,1.495276133999999786e+02
1.923000000000000000e+03,2.744354620000000068e+04,1.100000000000000000e+01,1.492121542999999804e+02
1.968000000000000000e+03,1.171590442699999949e+04,2.700000000000000000e+01,1.485812361000000124e+02
2.002000000000000000e+03,6.308113699999999881e+03,6.800000000000000000e+01,1.482657769999999857e+02
2.005000000000000000e+03,1.939350125000000116e+04,6.900000000000000000e+01,1.479503178999999875e+02
1.935000000000000000e+03,1.393545000000000073e+04,6.800000000000000000e+01,1.476348587999999893e+02
1.977000000000000000e+03,3.169478747999999905e+04,3.600000000000000000e+01,1.470039405999999929e+02
1.973000000000000000e+03,1.678757210000000123e+04,8.800000000000000000e+01,1.460575632999999982e+02
1.940000000000000000e+03,4.706800430800000322e+04,4.400000000000000000e+01,1.457421042000000000e+02
1.950000000000000000e+03,6.419225687999999536e+03,1.000000000000000000e+02,1.457421042000000000e+02
1.920000000000000000e+03,7.425086468999999852e+03,8.900000000000000000e+01,1.457421042000000000e+02
1.971000000000000000e+03,5.235548565000000235e+04,8.500000000000000000e+01,1.451111860000000036e+02
2.017000000000000000e+03,2.991290794000000005e+03,7.300000000000000000e+01,1.447957269000000053e+02
2.001000000000000000e+03,9.857008299999999508e+03,5.300000000000000000e+01,1.394329222000000073e+02
1.995000000000000000e+03,3.010057200000000194e+03,2.800000000000000000e+01,1.391174631000000090e+02
1.965000000000000000e+03,6.178049500000000262e+04,8.400000000000000000e+01,1.388020040000000108e+02
1.982000000000000000e+03,9.128091361999999208e+03,9.900000000000000000e+01,1.384865448999999842e+02
2.008000000000000000e+03,5.625926970999999867e+03,8.200000000000000000e+01,1.378556267000000162e+02
1.981000000000000000e+03,6.164132630600000266e+04,4.000000000000000000e+01,1.378556267000000162e+02
2.009000000000000000e+03,6.493362282000000050e+03,5.900000000000000000e+01,1.365937902999999949e+02
2.006000000000000000e+03,1.757724759999999878e+04,6.900000000000000000e+01,1.365937902999999949e+02
1.986000000000000000e+03,1.678757210000000123e+04,5.900000000000000000e+01,1.365937902999999949e+02
2.016000000000000000e+03,4.593774640999999974e+03,6.300000000000000000e+01,1.365937902999999949e+02
1.996000000000000000e+03,3.019347499999999854e+04,4.100000000000000000e+01,1.356474130000000002e+02
1.870000000000000000e+03,6.688365678999999545e+03,2.600000000000000000e+01,1.350164947999999754e+02
2.006000000000000000e+03,7.582371248000000378e+03,9.400000000000000000e+01,1.350164947999999754e+02
2.017000000000000000e+03,2.787090000000000146e+04,8.100000000000000000e+01,1.343855766000000074e+02
2.005000000000000000e+03,7.803759097000000111e+03,8.800000000000000000e+01,1.337546583999999825e+02
2.016000000000000000e+03,1.953025446599999850e+04,6.600000000000000000e+01,1.334391992999999843e+02
